İlçe Id,İlçe Adı,Belde Adı,Kayıtlı Seçmen Sayısı,Oy Kullanan Seçmen Sayısı,Geçerli Oy Toplamı, MUHARREM İNCE , MERAL AKŞENER , RECEP TAYYİP ERDOĞAN , SELAHATTİN DEMİRTAŞ , TEMEL KARAMOLLAOĞLU , DOĞU PERİNÇEK ,Mahaller Bazlı Veri İndir
28, ALİAĞA ,, 67.152 , 60.177 , 59.222 , 29.137 , 4.471 , 21.122 , 3.942 , 419 , 131 , Excel İndir  Json İndir 
898, BALÇOVA ,, 60.800 , 54.303 , 53.673 , 36.187 , 2.806 , 12.297 , 2.038 , 191 , 154 , Excel İndir  Json İndir 
77, BAYINDIR ,, 31.185 , 27.958 , 27.106 , 11.404 , 2.160 , 11.542 , 1.813 , 83 , 104 , Excel İndir  Json İndir 
962, BAYRAKLI ,, 236.227 , 211.045 , 207.099 , 104.807 , 12.104 , 74.492 , 13.983 , 1.236 , 477 , Excel İndir  Json İndir 
80, BERGAMA ,, 80.531 , 73.331 , 71.415 , 32.121 , 6.416 , 30.721 , 1.570 , 402 , 185 , Excel İndir  Json İndir 
669, BEYDAĞ ,, 9.972 , 9.101 , 8.612 , 4.201 , 1.091 , 3.161 , 54 , 44 , 61 , Excel İndir  Json İndir 
102, BORNOVA ,, 324.126 , 290.176 , 285.610 , 154.525 , 17.864 , 95.393 , 15.898 , 1.219 , 711 , Excel İndir  Json İndir 
673, BUCA ,, 361.017 , 316.478 , 311.326 , 155.802 , 19.688 , 110.770 , 22.769 , 1.520 , 777 , Excel İndir  Json İndir 
149, ÇEŞME ,, 34.017 , 29.926 , 29.513 , 18.973 , 1.519 , 7.444 , 1.458 , 58 , 61 , Excel İndir  Json İndir 
899, ÇİĞLİ ,, 145.598 , 130.786 , 128.695 , 78.151 , 7.835 , 36.818 , 5.102 , 501 , 288 , Excel İndir  Json İndir 
178, DİKİLİ ,, 37.982 , 34.485 , 33.847 , 22.227 , 2.303 , 7.590 , 1.470 , 104 , 153 , Excel İndir  Json İndir 
232, FOÇA ,, 24.236 , 21.656 , 21.335 , 12.666 , 1.440 , 6.270 , 800 , 67 , 92 , Excel İndir  Json İndir 
901, GAZİEMİR ,, 98.438 , 89.103 , 87.783 , 45.752 , 6.499 , 29.277 , 5.596 , 439 , 220 , Excel İndir  Json İndir 
910, GÜZELBAHÇE ,, 24.133 , 21.925 , 21.678 , 15.727 , 1.170 , 4.137 , 480 , 58 , 106 , Excel İndir  Json İndir 
961, KARABAĞLAR ,, 361.124 , 320.054 , 314.472 , 154.074 , 16.902 , 116.184 , 24.770 , 1.818 , 724 , Excel İndir  Json İndir 
327, KARABURUN ,, 8.613 , 7.740 , 7.577 , 4.806 , 428 , 2.076 , 219 , 16 , 32 , Excel İndir  Json İndir 
343, KARŞIYAKA ,, 274.303 , 248.356 , 245.792 , 181.732 , 11.861 , 43.464 , 7.174 , 659 , 902 , Excel İndir  Json İndir 
355, KEMALPAŞA ,, 77.487 , 69.900 , 68.254 , 27.082 , 4.790 , 33.665 , 1.844 , 705 , 168 , Excel İndir  Json İndir 
361, KINIK ,, 20.770 , 19.474 , 18.821 , 9.279 , 1.487 , 7.088 , 839 , 78 , 50 , Excel İndir  Json İndir 
371, KİRAZ ,, 33.661 , 29.453 , 27.868 , 10.452 , 3.000 , 13.912 , 157 , 143 , 204 , Excel İndir  Json İndir 
712, KONAK ,, 278.789 , 241.862 , 237.689 , 134.137 , 11.055 , 69.785 , 21.044 , 874 , 794 , Excel İndir  Json İndir 
719, MENDERES ,, 69.335 , 62.097 , 60.703 , 30.680 , 3.860 , 23.151 , 2.569 , 280 , 163 , Excel İndir  Json İndir 
414, MENEMEN ,, 120.985 , 107.376 , 105.309 , 48.858 , 6.901 , 35.436 , 13.415 , 441 , 258 , Excel İndir  Json İndir 
905, NARLIDERE ,, 49.405 , 44.871 , 44.244 , 32.695 , 1.913 , 6.699 , 2.697 , 87 , 153 , Excel İndir  Json İndir 
456, ÖDEMİŞ ,, 103.509 , 91.905 , 88.973 , 40.746 , 7.506 , 38.854 , 1.125 , 447 , 295 , Excel İndir  Json İndir 
504, SEFERİHİSAR ,, 31.956 , 28.496 , 27.980 , 16.683 , 1.590 , 8.036 , 1.442 , 109 , 120 , Excel İndir  Json İndir 
505, SELÇUK ,, 28.043 , 25.333 , 24.808 , 13.496 , 2.278 , 6.990 , 1.903 , 73 , 68 , Excel İndir  Json İndir 
570, TİRE ,, 65.553 , 58.089 , 56.338 , 24.848 , 7.171 , 22.534 , 1.338 , 274 , 173 , Excel İndir  Json İndir 
575, TORBALI ,, 123.521 , 110.641 , 108.140 , 45.436 , 7.649 , 42.506 , 11.758 , 542 , 249 , Excel İndir  Json İndir 
596, URLA ,, 49.901 , 44.803 , 44.116 , 30.587 , 2.429 , 9.511 , 1.307 , 100 , 182 , Excel İndir  Json İndir 
